Pool Id,Incentive Accumulator
1066,24578803748000000000.000000000000000000uosmo
1076,1206688396060937817163487362.398242206664251603uosmo
1077,"249214248955770274000000000.000000000000000000ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,115992369257811000000000.000000000000000000ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,539138527754950975161202308.512861248435717519uosmo"
1077,29968791186025752058663141.158314355931913482ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F
1078,499684682272594867318424540274.686166310771849653uosmo
1079,12089281617261078687215345497.087970011868898479uosmo
1080,6205674901352487000000000.000000000000000000uosmo
1081,"26761108919652000000000.000000000000000000ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,49843233254212000000000.000000000000000000uosmo"
1088,10171065652601111000000000.000000000000000000uosmo
1089,87994702857378637000000000.000000000000000000uosmo
1090,231164826514260029000000000.000000000000000000uosmo
1091,547421119451799000000000.000000000000000000uosmo
1092,411211497773818000000000.000000000000000000uosmo
1093,22086274571294915000000000.000000000000000000uosmo
1094,14160650724344121000000000.000000000000000000uosmo
1095,13315809429823797000000000.000000000000000000uosmo
1096,1615377853842683000000000.000000000000000000uosmo
1097,5979054496728876000000000.000000000000000000uosmo
1098,17931846875396890000000000.000000000000000000uosmo
1099,1985624542918803000000000.000000000000000000uosmo
1100,221848340338717100000000000.000000000000000000uosmo
1101,"138435784286424980000000000.000000000000000000ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,16131932986969827000000000.000000000000000000uosmo"
1102,64066477248411660000000000.000000000000000000uosmo
1103,12196390847035927000000000.000000000000000000uosmo
1104,16318993632123333000000000.000000000000000000uosmo
1105,19428605210016954000000000.000000000000000000uosmo
1106,5638045612155858000000000.000000000000000000uosmo
1107,"97796510856896469000000000.000000000000000000ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,82985930642715191021860001.766704021072595708uosmo"
1108,2539558295509629000000000.000000000000000000uosmo
1109,1708982541593944000000000.000000000000000000uosmo
1110,3670310115659088000000000.000000000000000000uosmo
1111,218919144737295000000000.000000000000000000uosmo
1112,5017894077361557000000000.000000000000000000uosmo
1113,2389692715793173000000000.000000000000000000uosmo
1114,0
1115,0
1116,0
1117,0
1123,47114530539267034000000000.000000000000000000uosmo
1124,118669957286628048000000000.000000000000000000uosmo
1125,17354645382753293000000000.000000000000000000uosmo
1126,28466313100761878000000000.000000000000000000uosmo
1127,5024694658220764000000000.000000000000000000uosmo
1128,150654542606745377000000000.000000000000000000uosmo
1129,0
1130,0
1131,0
1133,254882245651422374000000000.000000000000000000uosmo
1134,29145753376928865088860.972659055273417562uosmo
1135,59279104781628056274631196371532.949191842786359997uosmo
