Pool Id,RecordNumner,RemainingCoins,EmissionRate,MinUptime
1066,-1,No remaining coins,No emission rate,No uptime
1076,0,22619.291419491340008123uosmo,2.336782407407407407,1ns
1077,0,9251518949.650462962962964522ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,462962.962962962962962962,24h0m0s
1077,1,9408503397.908333333333334565ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,462962.962962962962962962,24h0m0s
1077,2,9450663981.114814814814815958ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,462962.962962962962962962,24h0m0s
1077,3,10000000000.000000000000000000ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,462962.962962962962962962,24h0m0s
1078,0,1037358.146209307529617324uosmo,110.980115740740740740,1ns
1079,0,57855.554163772205694406uosmo,6.737858796296296296,1ns
1080,-1,No remaining coins,No emission rate,No uptime
1081,-1,No remaining coins,No emission rate,No uptime
1088,-1,No remaining coins,No emission rate,No uptime
1089,-1,No remaining coins,No emission rate,No uptime
1090,-1,No remaining coins,No emission rate,No uptime
1091,-1,No remaining coins,No emission rate,No uptime
1092,-1,No remaining coins,No emission rate,No uptime
1093,-1,No remaining coins,No emission rate,No uptime
1094,-1,No remaining coins,No emission rate,No uptime
1095,-1,No remaining coins,No emission rate,No uptime
1096,-1,No remaining coins,No emission rate,No uptime
1097,-1,No remaining coins,No emission rate,No uptime
1098,-1,No remaining coins,No emission rate,No uptime
1099,-1,No remaining coins,No emission rate,No uptime
1100,-1,No remaining coins,No emission rate,No uptime
1101,-1,No remaining coins,No emission rate,No uptime
1102,-1,No remaining coins,No emission rate,No uptime
1103,-1,No remaining coins,No emission rate,No uptime
1104,-1,No remaining coins,No emission rate,No uptime
1105,-1,No remaining coins,No emission rate,No uptime
1106,-1,No remaining coins,No emission rate,No uptime
1107,0,9661235.670413726225754402uosmo,763.130185185185185185,1ns
1108,-1,No remaining coins,No emission rate,No uptime
1109,-1,No remaining coins,No emission rate,No uptime
1110,-1,No remaining coins,No emission rate,No uptime
1111,-1,No remaining coins,No emission rate,No uptime
1112,-1,No remaining coins,No emission rate,No uptime
1113,-1,No remaining coins,No emission rate,No uptime
1114,-1,No remaining coins,No emission rate,No uptime
1115,-1,No remaining coins,No emission rate,No uptime
1116,-1,No remaining coins,No emission rate,No uptime
1117,-1,No remaining coins,No emission rate,No uptime
1123,-1,No remaining coins,No emission rate,No uptime
1124,-1,No remaining coins,No emission rate,No uptime
1125,-1,No remaining coins,No emission rate,No uptime
1126,-1,No remaining coins,No emission rate,No uptime
1127,-1,No remaining coins,No emission rate,No uptime
1128,-1,No remaining coins,No emission rate,No uptime
1129,-1,No remaining coins,No emission rate,No uptime
1130,-1,No remaining coins,No emission rate,No uptime
1131,-1,No remaining coins,No emission rate,No uptime
1133,-1,No remaining coins,No emission rate,No uptime
1134,0,89433426.217307607161406842uosmo,11130.618854166666666666,1ns
1135,0,20163863.460126544020026462uosmo,2408.442754629629629629,1ns
1136,0,11214143.796963282784117532uosmo,1378.371134259259259259,1ns
1144,-1,No remaining coins,No emission rate,No uptime
1145,-1,No remaining coins,No emission rate,No uptime
1146,-1,No remaining coins,No emission rate,No uptime
1147,-1,No remaining coins,No emission rate,No uptime
1148,-1,No remaining coins,No emission rate,No uptime
1149,-1,No remaining coins,No emission rate,No uptime
1150,0,116571309.171941421331945165uosmo,5833.441944444444444444,1ns
1150,1,118549350.048542149295000569uosmo,5833.441944444444444444,1ns
1150,2,119080583.287816636202222750uosmo,5833.441944444444444444,1ns
1150,3,126002346.000000000000000000uosmo,5833.441944444444444444,1ns
1151,-1,No remaining coins,No emission rate,No uptime
1152,-1,No remaining coins,No emission rate,No uptime
1153,-1,No remaining coins,No emission rate,No uptime
1154,-1,No remaining coins,No emission rate,No uptime
1155,-1,No remaining coins,No emission rate,No uptime
1156,-1,No remaining coins,No emission rate,No uptime
1157,-1,No remaining coins,No emission rate,No uptime
1158,-1,No remaining coins,No emission rate,No uptime
1159,-1,No remaining coins,No emission rate,No uptime
1160,-1,No remaining coins,No emission rate,No uptime
1161,-1,No remaining coins,No emission rate,No uptime
1162,-1,No remaining coins,No emission rate,No uptime
1163,-1,No remaining coins,No emission rate,No uptime
1164,-1,No remaining coins,No emission rate,No uptime
1165,-1,No remaining coins,No emission rate,No uptime
1166,-1,No remaining coins,No emission rate,No uptime
1167,-1,No remaining coins,No emission rate,No uptime
1168,-1,No remaining coins,No emission rate,No uptime
1169,-1,No remaining coins,No emission rate,No uptime
1170,-1,No remaining coins,No emission rate,No uptime
1171,-1,No remaining coins,No emission rate,No uptime
1172,-1,No remaining coins,No emission rate,No uptime
1181,-1,No remaining coins,No emission rate,No uptime
1182,-1,No remaining coins,No emission rate,No uptime
1183,-1,No remaining coins,No emission rate,No uptime
1184,-1,No remaining coins,No emission rate,No uptime
1185,-1,No remaining coins,No emission rate,No uptime
1186,-1,No remaining coins,No emission rate,No uptime
1187,-1,No remaining coins,No emission rate,No uptime
1188,-1,No remaining coins,No emission rate,No uptime
1189,-1,No remaining coins,No emission rate,No uptime
1190,-1,No remaining coins,No emission rate,No uptime
1191,-1,No remaining coins,No emission rate,No uptime
1192,-1,No remaining coins,No emission rate,No uptime
1193,-1,No remaining coins,No emission rate,No uptime
1194,-1,No remaining coins,No emission rate,No uptime
1195,-1,No remaining coins,No emission rate,No uptime
1196,-1,No remaining coins,No emission rate,No uptime
1197,-1,No remaining coins,No emission rate,No uptime
1198,-1,No remaining coins,No emission rate,No uptime
1199,-1,No remaining coins,No emission rate,No uptime
1200,-1,No remaining coins,No emission rate,No uptime
1201,-1,No remaining coins,No emission rate,No uptime
1202,-1,No remaining coins,No emission rate,No uptime
1203,-1,No remaining coins,No emission rate,No uptime
1204,-1,No remaining coins,No emission rate,No uptime
1205,-1,No remaining coins,No emission rate,No uptime
1206,-1,No remaining coins,No emission rate,No uptime
1207,-1,No remaining coins,No emission rate,No uptime
1208,-1,No remaining coins,No emission rate,No uptime
1209,-1,No remaining coins,No emission rate,No uptime
1213,-1,No remaining coins,No emission rate,No uptime
1214,-1,No remaining coins,No emission rate,No uptime
1215,-1,No remaining coins,No emission rate,No uptime
1216,-1,No remaining coins,No emission rate,No uptime
1220,0,37448622.204792419088191667uosmo,4588.515891203703703703,1ns
1221,0,9253812.935137953342139425uosmo,1379.587696759259259259,1ns
1223,0,116571309.171941421331945165uosmo,5833.441944444444444444,1ns
1223,1,118549350.048542149295000569uosmo,5833.441944444444444444,1ns
1223,2,119080583.287816636202222750uosmo,5833.441944444444444444,1ns
1223,3,126002346.000000000000000000uosmo,5833.441944444444444444,1ns
1224,-1,No remaining coins,No emission rate,No uptime
1227,0,616767930.285081495852546777ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,30864.197546296296296296,336h0m0s
1227,1,627233560.174172335485833713ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,30864.197546296296296296,336h0m0s
1227,2,630044265.722676453691481834ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,30864.197546296296296296,336h0m0s
1227,3,666666667.000000000000000000ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,30864.197546296296296296,336h0m0s
1228,0,46.257594748252316133ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,0.002314814814814814,1ns
1228,1,47.042516989541667708ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,0.002314814814814814,1ns
1228,2,47.253319905574075041ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,0.002314814814814814,1ns
1228,3,50.000000000000000000ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,0.002314814814814814,1ns
1230,-1,No remaining coins,No emission rate,No uptime
1243,-1,No remaining coins,No emission rate,No uptime
1245,-1,No remaining coins,No emission rate,No uptime
1246,-1,No remaining coins,No emission rate,No uptime
1247,0,41418421.279054427879933945uosmo,6107.745138888888888888,1ns
1248,-1,No remaining coins,No emission rate,No uptime
1251,0,23443829.260954339660394793uosmo,3075.886296296296296296,1ns
1252,-1,No remaining coins,No emission rate,No uptime
1253,-1,No remaining coins,No emission rate,No uptime
1258,-1,No remaining coins,No emission rate,No uptime
1259,-1,No remaining coins,No emission rate,No uptime
1260,0,2421309.177023667197293844uosmo,87.536724537037037037,1ns
1261,0,1301456.838878553744687500uosmo,29.386562500000000000,1ns
1262,-1,No remaining coins,No emission rate,No uptime
1263,-1,No remaining coins,No emission rate,No uptime
1264,0,16615291.011606554947197605uosmo,2464.578368055555555555,1ns
1265,-1,No remaining coins,No emission rate,No uptime
1267,-1,No remaining coins,No emission rate,No uptime
1268,-1,No remaining coins,No emission rate,No uptime
1271,-1,No remaining coins,No emission rate,No uptime
1272,-1,No remaining coins,No emission rate,No uptime
1273,-1,No remaining coins,No emission rate,No uptime
1274,0,52444.551517501258731200uosmo,4.743831018518518518,1ns
1275,0,367.990524567085236535uosmo,0.005057870370370370,1ns
1276,0,4423.648446312684416927uosmo,0.426516203703703703,1ns
1276,1,36851.000000000000000000uosmo,0.426516203703703703,1ns
1276,2,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,3,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,4,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,5,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,6,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,7,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,8,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,9,33726.000000000000000000uosmo,0.390347222222222222,1ns
